Model,Optimizer,Seq_Length,Grad_Clipping,Accuracy,F1,Epoch_Time
RNN,ADAM,50,True,0.6013,0.6175,62.92
LSTM,ADAM,50,True,0.7382,0.7156,84.42
BILSTM,ADAM,50,True,0.7294,0.7107,120.42
RNN,ADAM,25,True,0.6846,0.6989,72.71
RNN,SGD,25,True,0.5051,0.489,62.9
RNN,RMSPROP,25,True,0.6793,0.6731,66.98
RNN,ADAM,50,True,0.6175,0.6426,83.6
RNN,SGD,50,True,0.5019,0.5075,75.77
RNN,RMSPROP,50,True,0.5818,0.6195,82.54
RNN,ADAM,100,True,0.6275,0.653,113.66
RNN,SGD,100,True,0.5053,0.538,105.18
RNN,RMSPROP,100,True,0.6571,0.6466,110.52
LSTM,ADAM,25,True,0.7229,0.7117,93.78
LSTM,SGD,25,True,0.4981,0.6585,88.17
LSTM,RMSPROP,25,True,0.7124,0.6821,97.83
LSTM,ADAM,50,True,0.7676,0.7611,143.48
LSTM,SGD,50,True,0.5051,0.4419,128.82
LSTM,RMSPROP,50,True,0.7732,0.7809,142.25
LSTM,ADAM,100,True,0.8139,0.8165,229.78
LSTM,SGD,100,True,0.5016,0.6336,211.85
LSTM,RMSPROP,100,True,0.8098,0.8265,223.92
BILSTM,ADAM,25,True,0.7262,0.7394,143.57
BILSTM,SGD,25,True,0.4954,0.484,133.95
BILSTM,RMSPROP,25,True,0.7193,0.7073,138.4
BILSTM,ADAM,50,True,0.7761,0.7785,220.26
BILSTM,SGD,50,True,0.5016,0.5008,219.23
BILSTM,RMSPROP,50,True,0.7345,0.7776,223.74
BILSTM,ADAM,100,True,0.8156,0.8299,406.75
BILSTM,SGD,100,True,0.5048,0.4879,415.92
BILSTM,RMSPROP,100,True,0.8165,0.8059,433.87
RNN,ADAM,25,True,0.6846,0.6989,70.83
RNN,SGD,25,True,0.5051,0.489,64.31
RNN,RMSPROP,25,True,0.6793,0.6731,67.68
RNN,ADAM,50,True,0.6175,0.6426,86.47
BILSTM,ADAM,100,True,0.8252,0.8274,407.78
RNN,SGD,25,True,0.5042,0.5145,63.86
RNN,ADAM,25,True,0.6846,0.6989,48.73
RNN,SGD,25,True,0.5051,0.489,43.45
RNN,RMSPROP,25,True,0.6793,0.6731,47.68
RNN,ADAM,50,True,0.6175,0.6426,59.18
RNN,SGD,50,True,0.5019,0.5075,54.18
RNN,RMSPROP,50,True,0.5818,0.6195,58.04
RNN,ADAM,100,True,0.6275,0.653,79.22
RNN,SGD,100,True,0.5053,0.538,74.16
RNN,RMSPROP,100,True,0.6571,0.6466,77.37
LSTM,ADAM,25,True,0.7229,0.7117,67.24
LSTM,SGD,25,True,0.4981,0.6585,61.72
LSTM,RMSPROP,25,True,0.7124,0.6821,65.08
LSTM,ADAM,50,True,0.7676,0.7611,98.31
LSTM,SGD,50,True,0.5051,0.4419,93.9
RNN,ADAM,25,True,0.6846,0.6989,48.91
RNN,SGD,25,True,0.5051,0.489,44.75
RNN,RMSPROP,25,True,0.6793,0.6731,45.51
RNN,ADAM,50,True,0.6175,0.6426,57.79
RNN,SGD,50,True,0.5019,0.5075,53.37
RNN,RMSPROP,50,True,0.5818,0.6195,58.23
RNN,ADAM,100,True,0.6275,0.653,79.37
RNN,SGD,100,True,0.5053,0.538,75.1
RNN,RMSPROP,100,True,0.6571,0.6466,75.17
LSTM,ADAM,25,True,0.7229,0.7117,93.83
LSTM,SGD,25,True,0.4981,0.6585,85.65
LSTM,RMSPROP,25,True,0.7124,0.6821,89.47
LSTM,ADAM,50,True,0.7676,0.7611,141.64
LSTM,SGD,50,True,0.5051,0.4419,131.4
LSTM,RMSPROP,50,True,0.7732,0.7809,139.35
LSTM,ADAM,100,True,0.8139,0.8165,230.52
LSTM,SGD,100,True,0.5016,0.6336,223.27
LSTM,RMSPROP,100,True,0.8098,0.8265,218.46
BILSTM,ADAM,25,True,0.7262,0.7394,142.01
BILSTM,SGD,25,True,0.4954,0.484,132.84
BILSTM,RMSPROP,25,True,0.7193,0.7073,143.41
BILSTM,ADAM,50,True,0.7761,0.7785,230.49
BILSTM,SGD,50,True,0.5016,0.5008,224.25
BILSTM,RMSPROP,50,True,0.7345,0.7776,238.14
BILSTM,ADAM,100,True,0.8156,0.8299,419.78
BILSTM,SGD,100,True,0.5048,0.4879,402.14
BILSTM,RMSPROP,100,True,0.8165,0.8059,414.91
